episode,efficiency,equality,sustainability,peace
1,73.75,0.7709039548022599,164.617,4.0
2,61.0,0.8545081967213115,144.489,4.0
3,87.75,0.8062678062678063,182.426,4.0
4,38.25000000000001,0.7445533769063182,96.965,3.875
5,63.25,0.6719367588932806,132.481,3.987
6,71.25,0.775438596491228,162.009,4.0
7,62.75,0.8197211155378485,143.501,3.925
8,65.5,0.9169847328244275,157.465,3.95
9,77.75,0.8697749196141479,142.575,3.975
10,92.0,0.8426177536231884,197.572,3.975
11,95.0,0.844078947368421,217.685,3.95
12,80.25,0.8232087227414331,160.981,3.925
13,80.0,0.89296875,179.773,3.9
14,84.25,0.8701780415430267,200.744,4.0
15,84.0,0.7023809523809523,186.95,4.0
16,113.74999999999999,0.8908424908424909,262.999,3.975
17,87.75,0.9430199430199431,201.952,4.0
18,127.5,0.8730392156862745,278.524,4.0
19,87.75,0.8627730294396961,202.403,4.0
20,120.0,0.9119791666666667,258.785,3.9
21,129.25,0.9090909090909091,284.921,4.0
22,98.25,0.9139100932994063,220.198,3.9
23,123.25,0.9568965517241379,275.557,3.9
24,124.75,0.9534068136272545,256.082,3.95
25,116.75,0.949678800856531,235.19,3.9
26,150.75,0.9776119402985075,324.725,3.95
27,139.0,0.9141187050359713,312.249,4.0
28,132.75,0.9910546139359698,302.044,3.85
29,153.00000000000003,0.9309640522875817,321.678,4.0
30,136.25,0.9422018348623853,314.768,3.85
31,143.49999999999997,0.9221835075493612,295.373,3.925
32,149.25,0.9459798994974874,328.107,3.875
33,165.75,0.9537456008044243,361.126,3.9
34,185.0,0.9402027027027027,394.81,3.975
35,161.25,0.896124031007752,327.651,3.925
36,183.25,0.9645293315143247,384.606,4.0
37,157.0,0.9632430997876857,350.833,3.85
38,170.0,0.9702205882352941,351.519,4.0
39,168.75,0.9781481481481481,364.398,4.0
40,166.0,0.8862951807228916,336.046,3.925
41,157.5,0.917063492063492,368.099,3.775
42,185.5,0.9528301886792453,404.821,3.95
43,181.5,0.9707300275482094,408.868,4.0
44,170.0,0.9360294117647059,369.433,4.0
45,153.5,0.8978013029315961,328.106,3.875
46,195.75,0.9439123031077054,425.695,3.975
47,200.0,0.9740625,405.437,4.0
48,203.75,0.9024539877300614,433.791,4.0
49,188.25,0.9862771137671535,395.535,3.97
50,193.5,0.9720068906115418,392.797,4.0
51,209.0,0.9671052631578947,459.606,4.0
52,173.75,0.942925659472422,365.19,3.9
53,185.5,0.9460916442048518,412.524,3.925
54,168.25,0.933754333828628,385.123,3.95
55,203.99999999999997,0.9634395424836601,434.956,4.0
56,180.5,0.9691828254847645,411.129,3.975
57,206.5,0.9794188861985472,418.193,4.0
58,186.0,0.9119623655913979,386.305,4.0
59,208.25,0.9666866746698679,425.417,4.0
60,205.5,0.9665450121654501,419.885,4.0
61,206.25,0.9551515151515152,415.433,4.0
