episode,efficiency,equality,sustainability,peace
1,19.5,0.6282051282051282,38.058,3.036
2,8.5,0.42647058823529416,22.236,2.787
3,20.5,0.6585365853658536,36.531,2.925
4,24.5,0.7704081632653061,49.023,3.044
5,20.5,0.8292682926829268,41.089,2.939
6,20.0,0.6375,49.886,2.97
7,25.25,0.6707920792079207,52.732,2.808
8,14.0,0.8214285714285714,25.993,2.973
9,15.0,0.5833333333333333,35.706,2.7
10,39.5,0.6803797468354431,76.719,3.302
11,35.75,0.763986013986014,75.002,3.05
12,17.5,0.6428571428571428,45.074,2.75
13,26.25,0.55,52.113,2.934
14,28.75,0.7673913043478261,55.679,2.804
15,26.25,0.6928571428571428,63.53,3.225
16,17.5,0.9178571428571428,36.612,3.332
17,27.5,0.7356060606060606,58.645,3.192
18,42.25,0.841715976331361,86.141,3.175
19,61.5,0.7693089430894309,135.57,3.475
20,33.5,0.875,73.152,3.369
21,47.0,0.6515957446808511,104.759,3.2
22,61.0,0.7756147540983607,124.004,3.45
23,103.0,0.8385922330097088,221.04,3.601
24,37.75,0.8658940397350994,85.546,2.95
25,78.75,0.8341269841269842,164.149,3.625
26,74.75,0.6847826086956521,138.104,3.6
27,63.25,0.8231225296442688,137.762,3.5
28,82.25,0.8229483282674772,171.845,3.425
29,77.0,0.8076298701298701,172.575,3.512
30,81.75,0.7155963302752293,147.432,3.475
31,52.5,0.780952380952381,121.538,3.058
32,35.0,0.8964285714285715,67.514,2.6
33,80.0,0.9515625,157.839,3.412
34,82.75,0.8617824773413898,189.326,3.251
35,75.25,0.8504983388704319,133.369,3.225
36,64.5,0.8313953488372093,151.831,2.975
37,67.75,0.9797047970479705,151.84,2.941
38,63.0,0.7777777777777778,142.117,3.05
39,81.75,0.8562691131498471,178.59,3.3
40,107.5,0.922093023255814,220.959,3.404
41,70.75,0.8613074204946997,143.437,2.95
42,107.25,0.8991841491841492,231.007,3.375
43,96.75,0.9263565891472868,203.587,3.45
44,89.5,0.8372905027932961,196.924,3.351
45,99.25,0.8476070528967254,210.08,3.095
46,100.75,0.9137717121588089,216.047,3.325
47,96.25,0.9435064935064935,217.172,3.125
48,105.0,0.919047619047619,196.403,3.625
49,82.25,0.9194528875379939,191.537,3.075
50,112.0,0.8783482142857143,236.793,3.337
51,119.0,0.9485294117647058,276.397,3.444
52,136.5,0.9432234432234432,281.687,3.5
53,121.25,0.8989690721649485,258.761,3.6
54,121.25,0.9469072164948453,247.803,3.6
55,122.25,0.9473415132924335,263.309,3.331
56,123.5,0.9726720647773279,267.398,3.425
57,116.75,0.9400428265524625,251.312,3.25
58,141.5,0.8604240282685512,302.391,3.603
59,116.5,0.8884120171673819,245.945,3.4
60,147.0,0.9532312925170068,296.886,3.5
61,135.5,0.8980627306273062,294.958,3.485
62,145.0,0.8379310344827586,308.303,3.55
63,132.25,0.9380907372400756,282.796,3.415
64,132.0,0.928030303030303,242.079,3.452
65,125.74999999999999,0.9174950298210736,277.559,3.325
66,143.75,0.8717391304347826,286.897,3.625
67,135.25,0.9145101663585952,293.609,3.375
68,151.5,0.9298679867986799,310.806,3.55
69,127.5,0.8813725490196078,239.791,3.532
70,133.5,0.9185393258426966,282.226,3.35
71,139.0,0.9037769784172662,293.146,3.425
72,156.0,0.8697916666666666,322.915,3.65
73,165.0,0.9212121212121213,342.54,3.575
74,132.0,0.9441287878787878,299.475,3.225
75,161.75,0.9207882534775889,320.352,3.5
76,172.5,0.9188405797101449,337.711,3.55
77,161.75,0.9099690880989181,336.308,3.575
78,154.0,0.9545454545454546,325.87,3.351
79,138.0,0.9592391304347826,302.131,3.25
80,156.5,0.8881789137380192,290.963,3.575
81,136.0,0.8933823529411765,266.806,3.6
82,162.0,0.9386574074074074,363.189,3.429
