efficiency,sustainability,equality,peace,cooperability
35.75,61.28,0.58,878.85,0.24
31.35,56.83,0.53,864.72,0.1
29.94,49.24,0.76,857.37,0.23
35.25,62.64,0.71,851.76,0.25
42.19,71.38,0.58,861.48,0.27
26.16,59.97,0.56,832.06,0.17
35.32,53.29,0.71,910.05,0.21
33.46,69.5,0.61,888.98,0.31
32.47,72.65,0.76,855.23,0.14
37.07,77.75,0.69,850.5,0.2
27.72,45.94,0.68,872.65,0.39
42.86,63.75,0.67,879.14,0.23
34.41,58.42,0.67,881.78,0.3
35.94,58.83,0.72,849.4,0.25
39.64,69.87,0.61,852.72,0.3
38.71,89.29,0.64,916.99,0.25
40.65,75.61,0.68,877.24,0.19
35.67,67.4,0.69,879.42,0.18
34.85,62.77,0.56,866.03,0.19
27.54,48.17,0.58,881.96,0.27
24.83,62.59,0.66,833.06,0.22
38.78,73.69,0.62,904.99,0.22
39.4,56.9,0.77,872.49,0.22
32.8,67.39,0.62,881.2,0.24
46.18,67.53,0.63,875.43,0.36
32.21,63.63,0.69,866.28,0.13
29.19,45.79,0.67,842.23,0.32
32.92,63.67,0.63,898.36,0.18
37.84,56.96,0.57,878.42,0.19
42.05,69.65,0.65,823.14,0.21
36.35,63.62,0.72,814.04,0.1
35.43,49.41,0.67,843.47,0.16
24.8,34.98,0.6,836.94,0.21
23.77,47.95,0.79,837.21,0.16
37.29,68.78,0.54,864.46,0.34
35.69,46.18,0.53,854.43,0.14
39.9,56.88,0.68,886.2,0.21
38.87,48.73,0.63,891.25,0.17
34.89,61.15,0.59,858.3,0.34
34.31,63.56,0.56,896.44,0.1
32.47,72.61,0.8,854.05,0.26
30.54,61.56,0.67,860.02,0.33
27.97,57.24,0.66,867.62,0.36
40.21,52.42,0.66,875.89,0.24
30.43,56.92,0.66,808.11,0.38
32.66,46.6,0.66,862.79,0.14
29.88,60.35,0.66,861.37,0.17
48.12,70.23,0.64,866.37,0.17
31.43,56.41,0.64,850.16,0.25
34.38,57.03,0.53,867.95,0.03
33.66,68.24,0.61,878.58,0.31
31.3,41.89,0.7,855.18,0.34
38.98,78.2,0.72,910.32,0.2
36.34,62.55,0.68,871.93,0.33
40.23,66.61,0.64,864.37,0.27
37.16,53.73,0.57,852.74,0.14
39.2,76.14,0.47,890.22,0.16
38.61,54.83,0.74,850.55,0.16
34.45,65.12,0.62,920.6,0.24
32.61,46.85,0.62,845.43,0.28
36.97,59.75,0.65,820.9,0.28
35.32,66.89,0.58,851.68,0.17
30.72,51.74,0.65,865.49,0.24
33.35,54.99,0.79,829.37,0.17
38.71,65.85,0.68,850.61,0.35
33.88,30.38,0.69,843.47,0.18
31.63,58.8,0.54,850.78,0.22
45.82,81.83,0.84,834.94,0.2
35.26,56.31,0.56,824.95,0.11
36.77,58.33,0.82,869.7,0.21
35.63,52.82,0.51,854.2,0.3
46.4,80.35,0.72,845.08,0.2
41.66,52.61,0.75,849.85,0.08
32.78,56.09,0.61,843.19,0.2
30.3,35.06,0.69,864.6,0.15
37.36,60.79,0.68,872.27,0.23
38.62,69.56,0.6,821.76,0.31
37.51,60.56,0.59,851.23,0.15
