efficiency,sustainability,equality,peace,cooperability
39.5,78.73,0.72,897.04,0.19
40.25,77.22,0.75,892.47,0.19
30.5,56.95,0.72,896.07,0.19
29.0,57.26,0.74,896.25,0.2
46.25,85.64,0.75,895.49,0.19
28.75,58.5,0.72,896.85,0.19
35.5,63.11,0.72,903.67,0.19
38.25,67.11,0.76,906.2,0.19
38.25,75.81,0.78,887.5,0.19
37.75,76.56,0.72,894.36,0.19
21.25,35.76,0.71,904.24,0.2
38.0,61.08,0.74,891.37,0.19
30.25,54.06,0.75,889.29,0.2
37.25,66.59,0.73,899.73,0.21
41.5,80.99,0.74,904.74,0.2
42.75,81.34,0.72,900.22,0.2
36.25,64.21,0.73,882.18,0.2
48.0,87.16,0.74,893.6,0.19
39.5,71.92,0.74,899.15,0.21
28.5,51.92,0.68,891.37,0.2
40.25,80.25,0.76,891.43,0.21
38.0,77.43,0.72,900.5,0.21
44.5,77.83,0.74,903.3,0.2
41.5,82.26,0.74,893.53,0.2
38.75,73.56,0.72,891.03,0.2
48.0,90.02,0.73,899.24,0.21
33.5,54.88,0.73,876.07,0.21
37.25,62.99,0.72,900.85,0.21
32.25,56.98,0.7,885.69,0.21
42.25,82.77,0.72,892.69,0.21
41.75,75.69,0.76,881.33,0.22
41.75,66.32,0.71,894.63,0.21
34.5,53.2,0.74,886.75,0.21
33.0,53.43,0.76,892.16,0.21
42.25,81.71,0.73,888.42,0.21
37.5,62.69,0.75,894.81,0.21
39.0,61.79,0.71,889.38,0.21
33.25,56.98,0.71,888.96,0.21
44.5,81.61,0.72,888.94,0.22
37.75,70.78,0.71,889.03,0.21
37.5,66.32,0.74,883.51,0.21
34.0,57.58,0.79,899.8,0.21
40.0,60.77,0.74,896.17,0.22
29.25,38.79,0.73,884.99,0.22
36.25,74.87,0.71,873.36,0.22
40.75,58.84,0.71,897.47,0.22
33.25,48.16,0.74,884.79,0.22
53.0,91.08,0.75,888.3,0.21
44.25,60.21,0.72,888.35,0.22
42.25,70.56,0.75,887.11,0.21
45.75,79.9,0.76,901.99,0.22
27.5,21.29,0.75,898.48,0.22
41.5,68.49,0.78,891.69,0.22
45.75,87.04,0.77,892.13,0.21
53.25,99.01,0.75,901.84,0.21
47.75,77.81,0.75,895.54,0.22
44.25,78.25,0.76,897.13,0.22
41.5,67.61,0.73,878.31,0.2
36.25,66.35,0.77,893.67,0.2
39.75,51.34,0.71,885.07,0.19
40.5,70.82,0.71,878.18,0.21
40.25,64.62,0.78,882.29,0.21
42.0,72.32,0.77,891.59,0.22
47.25,75.11,0.79,907.43,0.21
40.25,60.21,0.74,887.47,0.2
28.0,25.08,0.78,881.59,0.2
43.0,69.33,0.72,888.98,0.22
36.75,57.2,0.75,878.79,0.22
41.75,69.71,0.77,884.66,0.21
38.5,66.24,0.78,882.96,0.21
40.75,78.65,0.77,897.3,0.21
52.75,95.16,0.72,898.07,0.21
53.25,91.84,0.74,896.89,0.23
46.75,79.76,0.76,883.62,0.21
28.25,46.12,0.79,892.17,0.21
54.0,92.2,0.73,887.44,0.22
41.25,62.09,0.75,872.55,0.21
45.25,76.78,0.81,891.92,0.21
44.25,71.3,0.73,899.64,0.21
37.25,61.38,0.76,887.24,0.23
39.25,62.64,0.76,872.36,0.22
48.5,82.8,0.75,888.62,0.22
32.25,51.89,0.76,888.06,0.2
26.25,42.12,0.76,869.04,0.22
45.75,82.64,0.78,885.15,0.22
43.75,81.63,0.76,882.69,0.22
37.25,61.74,0.72,871.95,0.22
44.0,70.4,0.72,877.33,0.22
46.0,79.9,0.78,873.66,0.21
51.25,88.73,0.74,889.83,0.22
54.75,101.1,0.73,879.01,0.22
42.5,63.35,0.74,893.13,0.23
44.75,84.35,0.79,879.29,0.23
58.5,107.64,0.76,899.59,0.2
51.25,99.97,0.74,896.87,0.22
38.75,66.89,0.76,903.75,0.23
38.25,58.78,0.76,878.06,0.23
40.5,65.35,0.74,890.87,0.22
42.25,77.01,0.76,866.73,0.22
44.5,77.95,0.77,878.18,0.23
49.0,95.18,0.8,896.79,0.22
37.75,55.85,0.8,863.28,0.21
51.0,94.45,0.76,881.83,0.22
47.5,76.55,0.72,885.66,0.21
46.0,92.66,0.78,889.06,0.21
44.0,82.89,0.75,889.16,0.22
43.25,78.28,0.75,877.87,0.23
34.0,55.7,0.76,892.52,0.23
43.0,74.56,0.77,883.32,0.23
37.25,57.64,0.74,895.63,0.23
36.5,61.3,0.74,879.33,0.23
40.5,69.86,0.79,901.33,0.23
44.5,74.76,0.79,883.79,0.23
50.75,99.08,0.78,892.63,0.23
36.0,62.65,0.79,870.98,0.19
41.0,68.73,0.79,877.91,0.22
37.25,69.28,0.74,863.57,0.23
28.5,35.59,0.79,885.03,0.19
46.25,76.79,0.78,884.83,0.21
34.25,49.53,0.81,882.72,0.2
44.5,84.05,0.8,878.02,0.19
53.75,90.12,0.76,884.75,0.21
52.25,96.24,0.78,890.63,0.2
40.75,82.8,0.78,887.93,0.19
54.0,89.28,0.74,894.51,0.21
31.25,57.48,0.75,888.66,0.25
43.25,70.61,0.74,896.49,0.25
36.75,63.38,0.79,899.95,0.25
43.25,82.47,0.79,896.65,0.22
34.25,64.36,0.75,869.94,0.24
52.0,103.61,0.76,894.81,0.24
44.25,89.81,0.78,891.33,0.23
35.5,61.2,0.74,894.28,0.23
54.5,101.86,0.78,888.93,0.23
42.0,69.13,0.78,881.01,0.22
43.5,72.23,0.75,881.89,0.23
42.75,85.98,0.78,896.81,0.24
38.75,80.88,0.81,893.36,0.21
41.75,67.02,0.77,886.98,0.19
38.25,66.29,0.79,896.58,0.21
40.5,69.69,0.79,884.7,0.22
35.75,67.59,0.79,889.35,0.23
29.25,45.56,0.75,885.94,0.25
48.75,96.11,0.78,902.7,0.21
46.25,84.91,0.8,901.04,0.23
36.75,62.77,0.83,895.61,0.2
45.5,78.28,0.81,897.67,0.21
48.25,92.28,0.78,891.1,0.23
36.25,66.82,0.79,894.44,0.26
41.75,82.98,0.82,894.97,0.22
38.75,73.31,0.81,905.54,0.19
46.25,92.54,0.81,899.54,0.23
34.0,58.12,0.81,883.73,0.23
41.75,70.97,0.8,886.15,0.21
39.75,78.69,0.79,890.14,0.2
37.0,67.92,0.81,900.97,0.22
36.25,58.35,0.8,887.54,0.23
31.0,51.33,0.78,900.8,0.23
37.25,70.02,0.81,892.46,0.2
38.25,77.11,0.82,909.1,0.2
34.25,66.69,0.79,894.27,0.2
40.25,80.16,0.81,897.13,0.22
40.0,73.24,0.76,899.99,0.23
44.25,89.17,0.81,907.49,0.22
37.0,66.24,0.82,892.33,0.2
36.25,67.17,0.79,899.8,0.21
31.75,73.48,0.78,888.14,0.22
53.25,97.44,0.79,894.28,0.24
44.25,78.19,0.8,900.43,0.22
45.75,86.36,0.81,892.74,0.23
34.0,61.22,0.82,877.2,0.21
33.25,53.85,0.79,899.61,0.24
30.5,54.45,0.83,902.45,0.19
44.0,84.66,0.81,896.42,0.21
34.0,54.73,0.8,896.4,0.2
40.75,79.43,0.79,895.59,0.19
31.0,53.12,0.82,890.94,0.19
43.5,83.78,0.82,895.46,0.16
32.75,54.7,0.84,886.29,0.21
40.25,77.04,0.81,884.71,0.22
30.25,51.07,0.81,891.59,0.21
34.5,61.83,0.78,898.22,0.2
33.0,48.94,0.82,899.74,0.23
41.25,79.74,0.81,888.71,0.17
41.5,78.43,0.79,891.52,0.18
30.0,56.8,0.79,902.3,0.22
33.5,62.07,0.8,887.26,0.21
41.25,78.98,0.81,903.86,0.23
29.25,55.62,0.79,895.67,0.18
28.0,49.88,0.83,874.4,0.18
20.25,26.72,0.76,871.67,0.22
33.5,65.28,0.84,898.25,0.26
50.25,108.14,0.81,886.37,0.25
34.75,59.08,0.81,884.52,0.18
44.5,77.18,0.79,888.47,0.22
44.0,84.84,0.81,894.69,0.21
28.75,52.62,0.75,885.74,0.22
31.0,65.13,0.82,886.91,0.24
26.5,52.41,0.79,887.52,0.22
24.0,40.16,0.73,892.58,0.23
41.5,89.26,0.8,902.73,0.2
21.0,29.66,0.82,889.94,0.15
42.0,76.11,0.82,897.87,0.21
30.75,57.33,0.84,895.97,0.17
26.75,49.09,0.82,889.55,0.22
18.0,21.94,0.84,886.03,0.23
33.5,60.36,0.83,888.3,0.18
40.5,83.12,0.84,885.21,0.11
31.75,55.34,0.78,901.26,0.22
32.25,56.53,0.81,896.67,0.23
26.5,40.83,0.82,880.97,0.21
30.25,53.79,0.81,895.26,0.12
29.75,54.0,0.84,890.33,0.18
26.0,47.86,0.82,886.53,0.18
37.25,76.48,0.81,900.29,0.23
22.75,39.62,0.81,883.94,0.2
31.0,64.31,0.83,889.15,0.24
36.75,63.04,0.83,889.56,0.23
36.5,72.46,0.82,895.69,0.22
29.0,53.74,0.79,897.21,0.19
32.5,74.18,0.78,882.68,0.21
32.5,57.29,0.82,893.58,0.15
31.75,53.47,0.78,896.45,0.14
27.5,46.91,0.82,875.5,0.11
31.25,60.51,0.82,894.88,0.21
18.25,22.59,0.81,906.91,0.19
