efficiency,sustainability,equality,peace
27.75,52.78,922.83,0.71
25.5,50.26,925.31,0.74
29.5,52.08,922.27,0.71
33.25,70.63,914.16,0.74
32.5,64.75,924.86,0.72
39.0,68.56,917.24,0.7
35.5,64.61,927.02,0.73
37.25,74.08,933.46,0.73
34.25,74.42,919.2,0.71
41.25,78.87,924.1,0.7
41.25,85.7,928.81,0.71
43.75,86.78,923.22,0.68
40.5,67.76,931.5,0.7
42.0,75.29,928.87,0.72
42.5,77.83,927.38,0.67
40.0,82.05,918.53,0.68
41.0,73.09,931.95,0.66
30.75,45.45,931.39,0.7
35.0,54.29,930.39,0.68
42.25,74.52,919.73,0.69
32.5,49.78,922.94,0.66
42.5,96.08,924.11,0.71
35.25,61.16,932.43,0.69
37.0,75.22,929.09,0.69
42.75,74.72,933.47,0.7
32.25,53.92,927.97,0.68
30.75,53.21,927.33,0.7
37.5,67.15,927.77,0.69
39.25,68.7,921.46,0.68
38.25,66.76,926.76,0.67
37.25,62.69,925.63,0.68
33.25,48.9,918.13,0.7
24.25,31.88,906.74,0.72
36.0,49.27,928.56,0.71
44.25,79.95,932.31,0.68
40.75,74.56,925.59,0.66
39.0,72.02,928.46,0.66
42.75,69.59,934.77,0.66
35.0,43.29,927.81,0.66
41.75,62.29,929.29,0.69
46.5,87.72,923.33,0.68
52.5,98.27,929.28,0.68
34.75,56.77,934.51,0.64
43.0,76.44,917.04,0.68
35.25,54.28,921.99,0.68
34.5,48.44,920.37,0.66
48.25,74.13,925.85,0.62
45.25,70.02,925.6,0.73
39.0,61.13,931.31,0.75
35.0,43.22,919.87,0.7
34.75,47.88,925.91,0.71
40.0,55.17,930.51,0.75
52.25,89.68,926.88,0.65
47.75,76.28,927.58,0.64
34.25,51.67,931.98,0.73
30.0,42.95,923.97,0.72
42.0,65.47,924.9,0.73
41.5,63.71,936.75,0.73
48.5,72.85,922.06,0.69
35.0,51.63,922.85,0.74
50.25,79.41,922.31,0.71
41.75,78.91,911.0,0.73
30.5,35.41,921.52,0.73
42.75,63.54,931.68,0.66
44.5,68.43,922.22,0.7
55.25,93.22,913.45,0.7
42.75,70.8,922.75,0.73
61.5,107.07,927.66,0.74
46.5,76.44,926.32,0.68
43.25,57.96,923.12,0.73
32.25,49.92,909.02,0.66
48.5,83.87,925.21,0.67
29.25,39.66,921.87,0.68
34.0,51.35,913.32,0.72
36.75,48.86,924.66,0.68
31.25,40.81,927.1,0.69
57.5,107.45,924.68,0.7
43.5,66.65,917.79,0.74
36.25,62.33,899.34,0.71
55.75,102.82,916.07,0.65
41.0,64.68,913.66,0.7
50.0,87.03,906.66,0.69
50.5,86.88,922.54,0.68
43.25,76.51,919.27,0.73
42.25,78.66,910.37,0.67
50.5,83.81,916.9,0.69
30.25,41.94,906.9,0.73
35.75,56.17,908.86,0.69
33.25,52.39,915.0,0.69
45.0,67.58,909.47,0.68
58.25,108.86,925.6,0.71
33.5,49.29,904.2,0.73
42.75,64.54,910.08,0.74
26.75,43.93,924.23,0.7
