efficiency,sustainability,equality,peace,cooperability
20.75,38.58,0.85,993.75,0.24
27.25,64.1,0.9,993.75,0.25
22.75,49.59,0.81,987.5,0.24
16.25,28.69,0.83,975.0,0.24
23.25,48.81,0.8,1000.0,0.24
20.5,39.93,0.7,993.75,0.25
13.5,16.33,0.95,981.25,0.24
26.75,48.81,0.82,1000.0,0.25
20.0,46.63,0.73,1000.0,0.24
22.25,35.14,0.85,993.75,0.25
17.0,18.89,0.79,993.75,0.24
21.0,42.71,0.68,993.75,0.25
27.25,48.78,0.91,987.5,0.24
24.5,46.51,0.92,993.75,0.25
21.5,24.71,0.71,1000.0,0.25
26.25,57.04,0.76,1000.0,0.25
21.5,42.3,0.65,993.75,0.25
16.75,39.31,0.67,1000.0,0.25
13.5,26.5,0.58,987.5,0.24
15.5,27.63,0.58,981.25,0.25
17.75,39.08,0.75,975.0,0.25
19.75,29.28,0.82,1000.0,0.26
16.75,26.89,0.76,993.75,0.26
14.0,19.71,0.88,987.5,0.25
23.5,28.4,0.86,993.75,0.25
17.75,35.71,0.7,987.5,0.25
25.25,44.48,0.69,987.5,0.25
17.0,26.04,0.92,968.75,0.25
20.5,35.19,0.74,987.5,0.26
26.0,31.47,0.79,987.5,0.25
23.5,48.13,0.81,968.75,0.25
26.75,46.5,0.93,993.75,0.26
20.75,39.5,0.88,1000.0,0.25
20.0,37.14,0.81,1000.0,0.26
16.25,22.5,0.86,987.5,0.26
26.5,59.12,0.86,993.75,0.26
24.75,44.55,0.74,1000.0,0.25
21.25,30.51,0.74,1000.0,0.27
12.25,12.17,0.74,993.75,0.26
21.5,30.7,0.84,1000.0,0.26
19.5,28.67,0.85,1000.0,0.26
19.5,26.96,0.87,987.5,0.26
14.75,18.06,0.82,987.5,0.26
17.0,32.22,0.68,978.5,0.25
24.25,44.14,0.7,993.25,0.26
27.0,43.2,0.85,993.75,0.26
18.25,32.47,0.8,987.5,0.25
21.25,28.24,0.72,1000.0,0.26
12.5,21.34,0.51,987.5,0.26
19.75,40.84,0.74,993.75,0.27
14.0,17.69,0.69,987.5,0.27
21.25,44.09,0.83,993.75,0.26
16.75,24.83,0.87,987.5,0.27
25.0,41.32,0.88,981.25,0.26
21.25,36.74,0.71,993.75,0.27
17.25,36.07,0.79,987.5,0.26
